Table 1
DIST,CTY,MUNICIPALITY,"Daigle, Lucien J.B.","Martin, John L.",Blank,TBC,,,,,,
87,AND,MECHANIC FALLS,1375,442,1817,,,,,,,
87,AND,POLAND,2370,998,3368,,,,,,,
87,,STATE UOCAVA,7,6,13,,,,,,,
,,TOTAL,3752,1446,5198,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Chapman, Quentin J.","Damien, Stefanie Mahr",Blank,TBC,,,,,,
,,,Auburn,Auburn,,,,,,,,
,,,Republican,Democratic,,,,,,,,
88,AND,AUBURN,2836,2311,296,5443,,,,,,
88,,STATE UOCAVA,11,25,1,37,,,,,,
,,TOTAL,2847,2336,297,5480,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Janelle, John G.","Lee, Adam R.",Blank,TBC,,,,,,
,,,Auburn,Auburn,,,,,,,,
,,,Republican,Democratic,,,,,,,,
89,AND,AUBURN,1319,1744,230,3293,,,,,,
89,,STATE UOCAVA,6,20,1,27,,,,,,
,,TOTAL,1325,1764,231,3320,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Campbell, Daniel E.","Libby, Laurel D.",Blank,TBC,,,,,,
,,,Auburn,Auburn,,,,,,,,
,,,Democratic,Republican,,,,,,,,
90,AND,AUBURN,2039,1658,98,3795,,,,,,
90,AND,MINOT,611,1167,89,1867,,,,,,
90,,STATE UOCAVA,28,7,3,38,,,,,,
,,TOTAL,2678,2832,190,5700,,,,,,
DIST,CTY,MUNICIPALITY,"Morris, Joshua K.",Blank,TBC,,,,,,,
,,,Turner,,,,,,,,,
,,,Republican,,,,,,,,,
91,AND,LEEDS,1107,344,1451,,,,,,,
91,AND,TURNER,2829,842,3671,,,,,,,
91,KEN,WAYNE,518,360,878,,,,,,,
91,,STATE UOCAVA,15,12,27,,,,,,,
,,TOTAL,4469,1558,6027,,,,,,,
DIST,CTY,MUNICIPALITY,"Girardin, Scott ","Wood, Stephen J.",Blank,TBC,,,,,,
,,,Sabattus,Greene,,,,,,,,
,,,Maine Independent,Republican,,,,,,,,
92,AND,GREENE,758,1792,146,2696,,,,,,
92,AND,SABATTUS,1252,1442,369,3063,,,,,,
92,,STATE UOCAVA,9,5,1,15,,,,,,
,,TOTAL,2019,3239,516,5774,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"McCabe, Julia A.G.",Blank,TBC,,,,,,,
,,,Lewiston,,,,,,,,,
,,,Democratic,,,,,,,,,
93,AND,LEWISTON,3088,1132,4220,,,,,,,
93,,STATE UOCAVA,68,5,73,,,,,,,
,,TOTAL,3156,1137,4293,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Cloutier, Kristen Sarah","Snow-Black, Kendil E.",Blank,TBC,,,,,,
,,,Lewiston,Lewiston,,,,,,,,
,,,Democratic,Republican,,,,,,,,
94,AND,LEWISTON,2113,1439,330,3882,,,,,,
94,,STATE UOCAVA,15,4,1,20,,,,,,
,,TOTAL,2128,1443,331,3902,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Abdi, Mana Hared",Blank,TBC,,,,,,,
,,,Lewiston,,,,,,,,,
,,,Democratic,,,,,,,,,
95,AND,LEWISTON,2144,1299,3443,,,,,,,
95,,STATE UOCAVA,16,2,18,,,,,,,
,,TOTAL,2160,1301,3461,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Clement, Kerryl Lee","Lajoie, Michel A.",Blank,TBC,,,,,,
,,,Lewiston,Lewiston,,,,,,,,
,,,Republican,Democratic,,,,,,,,
96,AND,LEWISTON,2510,2537,261,5308,,,,,,
96,,STATE UOCAVA,7,19,3,29,,,,,,
,,TOTAL,2517,2556,264,5337,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Mason, Richard G.",Blank,TBC,,,,,,,
,,,Lisbon,,,,,,,,,
,,,Republican,,,,,,,,,
97,AND,LISBON,3416,1146,4562,,,,,,,
97,,STATE UOCAVA,9,4,13,,,,,,,
,,TOTAL,3425,1150,4575,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Lebida, Guy M.","Webb, Kilton M.",Blank,TBC,,,,,,
,,,Bowdoin,Durham,,,,,,,,
,,,Republican,Democratic,,,,,,,,
98,AND,DURHAM,1421,1457,127,3005,,,,,,
98,AND,LISBON,305,293,34,632,,,,,,
98,CUM,POWNAL,517,701,48,1266,,,,,,
98,SAG,BOWDOIN,397,234,16,647,,,,,,
98,SAG,TOPSHAM,291,287,22,600,,,,,,
98,,STATE UOCAVA,11,24,1,36,,,,,,
,,TOTAL,2942,2996,248,6186,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Golek, Cheryl A.","Hall, Sean  N.",Blank,TBC,,,,,,
,,,Harpswell,Harpswell,,,,,,,,
,,,Democratic,Republican,,,,,,,,
99,CUM,BRUNSWICK,1290,870,125,2285,,,,,,
99,CUM,HARPSWELL,2296,1512,113,3921,,,,,,
99,,STATE UOCAVA,57,10,1,68,,,,,,
,,TOTAL,3643,2392,239,6274,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Ankeles, Daniel J.","Prescott, Ivon H.",Blank,TBC,,,,,,
,,,Brunswick,Brunswick,,,,,,,,
,,,Democratic,Republican,,,,,,,,
100,CUM,BRUNSWICK,4401,1221,291,5913,,,,,,
100,,STATE UOCAVA,89,9,1,99,,,,,,
,,TOTAL,4490,1230,292,6012,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Arford, Poppy T.",Blank,TBC,,,,,,,
,,,Brunswick,,,,,,,,,
,,,Democratic,,,,,,,,,
101,CUM,BRUNSWICK,4879,1564,6443,,,,,,,
101,,STATE UOCAVA,53,12,65,,,,,,,
,,TOTAL,4932,1576,6508,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Finegan, James J.","Sachs, Melanie Fleming",Blank,TBC,,,,,,
,,,Freeport,Freeport,,,,,,,,
,,,Republican,Democratic,,,,,,,,
102,CUM,FREEPORT,1822,4220,241,6283,,,,,,
102,,STATE UOCAVA,6,56,8,70,,,,,,
,,TOTAL,1828,4276,249,6353,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bell, Arthur L.",Blank,TBC,,,,,,,
,,,Yarmouth,,,,,,,,,
,,,Democratic,,,,,,,,,
103,CUM,YARMOUTH,5058,1241,6299,,,,,,,
103,,STATE UOCAVA,77,7,84,,,,,,,
,,TOTAL,5135,1248,6383,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Arata, Amy B.","Strickler, Colleen D.",Blank,TBC,,,,,,
,,,New Gloucester,New Gloucester,,,,,,,,
,,,Republican,Democratic,,,,,,,,
104,CUM,GRAY,1264,973,100,2337,,,,,,
104,CUM,NEW GLOUCESTER,2151,1496,152,3799,,,,,,
104,,STATE UOCAVA,7,16,1,24,,,,,,
,,TOTAL,3422,2485,253,6160,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Austin, Susan M.","Graham, Anne P.",Blank,TBC,,,,,,
,,,Gray,North Yarmouth,,,,,,,,
,,,Republican,Democratic,,,,,,,,
105,CUM,GRAY,1781,1422,110,3313,,,,,,
105,CUM,NORTH YARMOUTH,1125,1882,86,3093,,,,,,
105,,STATE UOCAVA,8,31,3,42,,,,,,
,,TOTAL,2914,3335,199,6448,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bagshaw, Barbara A.","Poland , Doris A.",Blank,TBC,,,,,,
,,,Windham,Windham ,,,,,,,,
,,,Republican,Democratic,,,,,,,,
106,CUM,WINDHAM,3037,2645,192,5874,,,,,,
106,,STATE UOCAVA,4,14,1,19,,,,,,
,,TOTAL,3041,2659,193,5893,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Cooper, Mark C.","Corey, Patrick Wayne","Pringle, Jane P.",Blank,TBC,,,,,
,,,Windham,Windham,Windham,,,,,,,
,,,Republican,Independent,Democratic,,,,,,,
107,CUM,WINDHAM,2427,819,2283,192,5721,,,,,
107,,STATE UOCAVA,10,1,18,1,30,,,,,
,,TOTAL,2437,820,2301,193,5751,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Moody, M. Thad","Terry, Parnell William",Blank,TBC,,,,,,
,,,Gorham,Gorham,,,,,,,,
,,,Republican,Democratic,,,,,,,,
108,CUM,GORHAM,2539,2632,298,5469,,,,,,
108,,STATE UOCAVA,11,15,2,28,,,,,,
,,TOTAL,2550,2647,300,5497,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Livingston, Alan R.","Sato, Eleanor Y.",Blank,TBC,,,,,,
,,,Gorham,Gorham,,,,,,,,
,,,Republican,Democratic,,,,,,,,
109,CUM,GORHAM,2543,3304,244,6091,,,,,,
109,,STATE UOCAVA,9,31,1,41,,,,,,
,,TOTAL,2552,3335,245,6132,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Jordan , Scott William","Mitchell, Christina R.C.",Blank,TBC,,,,,,
,,,Cumberland,Cumberland,,,,,,,,
,,,Republican,Democratic,,,,,,,,
110,CUM,CHEBEAGUE ISLAND,72,231,20,323,,,,,,
110,CUM,CUMBERLAND,2156,3771,203,6130,,,,,,
110,CUM,LONG ISLAND,70,118,14,202,,,,,,
110,,STATE UOCAVA,7,52,4,63,,,,,,
,,TOTAL,2305,4172,241,6718,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Jones , John  L.","Kuhn, Amy D.",Blank,TBC,,,,,,
,,,Falmouth ,Falmouth,,,,,,,,
,,,Republican,Democratic,,,,,,,,
111,CUM,FALMOUTH,2024,4511,242,6777,,,,,,
111,,STATE UOCAVA,15,72,1,88,,,,,,
,,TOTAL,2039,4583,243,6865,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Crockett, W. Edward","Wolejko, Steven Alan",Blank,TBC,,,,,,
,,,Portland,Portland,,,,,,,,
,,,Democratic,Republican,,,,,,,,
112,CUM,FALMOUTH,1465,674,128,2267,,,,,,
112,CUM,PORTLAND,2674,976,175,3825,,,,,,
112,,STATE UOCAVA,57,5,2,64,,,,,,
,,TOTAL,4196,1655,305,6156,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Lookner, Grayson B.",Blank,TBC,,,,,,,
,,,Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
113,CUM,PORTLAND,3597,1511,5108,,,,,,,
113,,STATE UOCAVA,28,8,36,,,,,,,
,,TOTAL,3625,1519,5144,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Pugh, Dylan R.","Wakem, Jacob Murray",Blank,TBC,,,,,,
,,,Portland,Portland,,,,,,,,
,,,Democratic,Republican,,,,,,,,
114,CUM,PORTLAND,3298,1098,531,4927,,,,,,
114,,STATE UOCAVA,39,5,1,45,,,,,,
,,TOTAL,3337,1103,532,4972,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Brennan, Michael F.",Blank,TBC,,,,,,,
,,,Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
115,CUM,PORTLAND,4630,1017,5647,,,,,,,
115,,STATE UOCAVA,84,7,91,,,,,,,
,,TOTAL,4714,1024,5738,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Zager, Samuel Lewis",Blank,TBC,,,,,,,
,,,Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
116,CUM,PORTLAND,4460,971,5431,,,,,,,
116,,STATE UOCAVA,77,9,86,,,,,,,
,,TOTAL,4537,980,5517,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Moonen, Matthew ",Blank,TBC,,,,,,,
,,,Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
117,CUM,PORTLAND,3649,940,4589,,,,,,,
117,,STATE UOCAVA,71,19,90,,,,,,,
,,TOTAL,3720,959,4679,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Yusuf, Yusuf M.",Blank,TBC,,,,,,,
,,,Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
118,CUM,PORTLAND,3274,907,4181,,,,,,,
118,,STATE UOCAVA,49,12,61,,,,,,,
,,TOTAL,3323,919,4242,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Doyle, Peter Ignatius","Skold, Charles A.",Blank,TBC,,,,,,
,,,Portland,Portland,,,,,,,,
,,,Republican,Democratic,,,,,,,,
119,CUM,PORTLAND,848,4797,481,6126,,,,,,
119,,STATE UOCAVA,4,116,10,130,,,,,,
,,TOTAL,852,4913,491,6256,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Dhalac, Deqa Abdi",Blank,TBC,,,,,,,
,,,South Portland,,,,,,,,,
,,,Democratic,,,,,,,,,
120,CUM,SOUTH PORTLAND,3326,1495,4821,,,,,,,
120,,STATE UOCAVA,16,4,20,,,,,,,
,,TOTAL,3342,1499,4841,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Kessler, Christopher J.","Walter , Tammy  B.",Blank,TBC,,,,,,
,,,South Portland,Cape Elizabeth ,,,,,,,,
,,,Democratic,Republican,,,,,,,,
121,CUM,CAPE ELIZABETH,107,69,11,187,,,,,,
121,CUM,SOUTH PORTLAND,3877,1442,301,5620,,,,,,
121,,STATE UOCAVA,40,5,5,50,,,,,,
,,TOTAL,4024,1516,317,5857,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Beck, Matthew D.","Pock , Michael  R.",Blank,TBC,,,,,,
,,,South Portland,South Portland ,,,,,,,,
,,,Democratic,Republican,,,,,,,,
122,CUM,SOUTH PORTLAND,4249,1003,318,5570,,,,,,
122,,STATE UOCAVA,78,6,4,88,,,,,,
,,TOTAL,4327,1009,322,5658,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Boyer, Michelle Nicole","Christy, Annie ",Blank,TBC,,,,,,
,,,Cape Elizabeth,Cape Elizabeth,,,,,,,,
,,,Democratic,Republican,,,,,,,,
123,CUM,CAPE ELIZABETH,4758,1700,288,6746,,,,,,
123,,STATE UOCAVA,103,10,3,116,,,,,,
,,TOTAL,4861,1710,291,6862,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Rosenblatt, Annalee Z.","Warren, Sophia Bailey",Blank,TBC,,,,,,
,,,Scarborough,Scarborough,,,,,,,,
,,,Republican,Democratic,,,,,,,,
124,CUM,SCARBOROUGH,2025,3959,350,6334,,,,,,
124,,STATE UOCAVA,14,44,3,61,,,,,,
,,TOTAL,2039,4003,353,6395,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Murphy, Kelly Noonan","Sterling , Kayla  A.",Blank,TBC,,,,,,
,,,Scarborough,Scarborough,,,,,,,,
,,,Democratic,Republican,,,,,,,,
125,CUM,SCARBOROUGH,3779,2313,434,6526,,,,,,
125,,STATE UOCAVA,27,7,0,34,,,,,,
,,TOTAL,3806,2320,434,6560,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Gattine, Andrew M.",Blank,TBC,,,,,,,
,,,Westbrook,,,,,,,,,
,,,Democratic,,,,,,,,,
126,CUM,SCARBOROUGH,1816,947,2763,,,,,,,
126,CUM,WESTBROOK,575,230,805,,,,,,,
126,YOR,SACO,1373,648,2021,,,,,,,
126,,STATE UOCAVA,21,4,25,,,,,,,
,,TOTAL,3785,1829,5614,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Poitras, Ryan C.","Rielly, Morgan J.",Blank,TBC,,,,,,
,,,Westbrook,Westbrook,,,,,,,,
,,,Republican,Democratic,,,,,,,,
127,CUM,WESTBROOK,1348,3007,257,4612,,,,,,
127,,STATE UOCAVA,4,20,3,27,,,,,,
,,TOTAL,1352,3027,260,4639,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Ellis, Charles William","Salisbury, Suzanne M.",Blank,TBC,,,,,,
,,,Westbrook,Westbrook,,,,,,,,
,,,Republican,Democratic,,,,,,,,
128,CUM,WESTBROOK,1791,3342,264,5397,,,,,,
128,,STATE UOCAVA,1,17,2,20,,,,,,
,,TOTAL,1792,3359,266,5417,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Archer, Marshall F.",Blank,TBC,,,,,,,
,,,Saco,,,,,,,,,
,,,Democratic,,,,,,,,,
129,YOR,SACO,4018,1402,5420,,,,,,,
129,,STATE UOCAVA,25,4,29,,,,,,,
,,TOTAL,4043,1406,5449,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Copeland, Lynn Holland","Sirois, Theodore L.",Blank,TBC,,,,,,
,,,Saco,Saco,,,,,,,,
,,,Democratic,Republican,,,,,,,,
130,YOR,SACO,3189,2023,304,5516,,,,,,
130,,STATE UOCAVA,20,8,3,31,,,,,,
,,TOTAL,3209,2031,307,5547,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Eccleston, Scott Benedetto","Gramlich, Lori Kathryn",Blank,TBC,,,,,,
,,,Old Orchard Beach,Old Orchard Beach,,,,,,,,
,,,Republican,Democratic,,,,,,,,
131,YOR,OLD ORCHARD BEACH,2212,3703,401,6316,,,,,,
131,,STATE UOCAVA,12,36,1,49,,,,,,
,,TOTAL,2224,3739,402,6365,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Fecteau, Ryan M.",Blank,TBC,,,,,,,
,,,Biddeford,,,,,,,,,
,,,Democratic,,,,,,,,,
132,YOR,BIDDEFORD,3504,929,4433,,,,,,,
132,,STATE UOCAVA,20,3,23,,,,,,,
,,TOTAL,3524,932,4456,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Malon, Marc G.",Blank,TBC,,,,,,,
,,,Biddeford,,,,,,,,,
,,,Democratic,,,,,,,,,
133,YOR,BIDDEFORD,3981,1317,5298,,,,,,,
133,,STATE UOCAVA,26,3,29,,,,,,,
,,TOTAL,4007,1320,5327,,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Gere, Traci ","Jordan, Elizabeth A.",Blank,TBC,,,,,,
,,,Kennebunkport,Kennebunkport,,,,,,,,
,,,Democratic,Republican,,,,,,,,
134,YOR,BIDDEFORD,1097,606,107,1810,,,,,,
134,YOR,KENNEBUNK,958,633,423,2014,,,,,,
134,YOR,KENNEBUNKPORT,1655,1079,82,2816,,,,,,
134,,STATE UOCAVA,91,12,5,108,,,,,,
,,TOTAL,3801,2330,617,6748,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Craig, Scott E.","Sayre, Daniel R.",Blank,TBC,,,,,,
,,,Kennebunk,Kennebunk,,,,,,,,
,,,Republican,Democratic,,,,,,,,
135,YOR,KENNEBUNK,2640,3871,361,6872,,,,,,
135,,STATE UOCAVA,13,54,8,75,,,,,,
,,TOTAL,2653,3925,369,6947,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Conners, Michelle Kathryn","Eder, John M.",Blank,TBC,,,,,,
,,,Waterboro,Waterboro,,,,,,,,
,,,Democratic,Republican,,,,,,,,
136,YOR,ALFRED,915,1053,108,2076,,,,,,
136,YOR,LYMAN,548,701,127,1376,,,,,,
136,YOR,WATERBORO,909,1383,153,2445,,,,,,
136,,STATE UOCAVA,14,6,1,21,,,,,,
,,TOTAL,2386,3143,389,5918,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Carlow, Nathan  M.","Gleason, Elizabeth Jane",Blank,TBC,,,,,,
,,,Buxton,Buxton,,,,,,,,
,,,Republican,Democratic,,,,,,,,
137,YOR,BUXTON,2276,1629,205,4110,,,,,,
137,YOR,HOLLIS,1077,738,128,1943,,,,,,
137,,STATE UOCAVA,6,19,0,25,,,,,,
,,TOTAL,3359,2386,333,6078,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Barden, Michael Thomas","Blier, Mark John","McKinney, Michael Anthony",Blank,TBC,,,,,
,,,Limington ,Buxton,Cornish,,,,,,,
,,,A True Independent,Republican,Democratic,,,,,,,
,,,,,,,,,,,,
138,YOR,BUXTON,141,696,329,60,1226,,,,,
138,YOR,CORNISH,99,427,388,66,980,,,,,
138,YOR,HOLLIS,180,610,338,63,1191,,,,,
138,YOR,LIMINGTON,556,1154,555,200,2465,,,,,
138,,STATE UOCAVA,1,5,16,2,24,,,,,
,,TOTAL,977,2892,1626,391,5886,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Krolick, Clifford  T.","Woodsome, David C.",Blank,TBC,,,,,,
,,,Parsonsfield ,Waterboro,,,,,,,,
,,,Democratic,Republican,,,,,,,,
139,YOR,LIMERICK,626,1338,106,2070,,,,,,
139,YOR,PARSONSFIELD,424,691,67,1182,,,,,,
139,YOR,WATERBORO,658,1561,87,2306,,,,,,
139,,STATE UOCAVA,14,4,2,20,,,,,,
,,TOTAL,1722,3594,262,5578,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Nedeau, Jason ","Parry, Wayne R.",Blank,TBC,,,,,,
,,,Arundel ,Arundel ,,,,,,,,
,,,Democratic,Republican,,,,,,,,
140,YOR,ARUNDEL,1241,1549,127,2917,,,,,,
140,YOR,DAYTON,490,923,67,1480,,,,,,
140,YOR,LYMAN,629,956,148,1733,,,,,,
140,,STATE UOCAVA,13,7,2,22,,,,,,
,,TOTAL,2373,3435,344,6152,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Kidder, Patricia E.","Lanigan, Lucas John",Blank,TBC,,,,,,
,,,Sanford,Sanford,,,,,,,,
,,,Democratic,Republican,,,,,,,,
141,YOR,NEWFIELD,424,559,70,1053,,,,,,
141,YOR,SANFORD,1218,987,205,2410,,,,,,
141,YOR,SHAPLEIGH,825,927,146,1898,,,,,,
141,,STATE UOCAVA,10,5,3,18,,,,,,
,,TOTAL,2477,2478,424,5379,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Bell, Amy C.","Mastraccio, Anne-Marie ",Blank,TBC,,,,,,
,,,Sanford,Sanford,,,,,,,,
,,,Republican,Democratic,,,,,,,,
142,YOR,SANFORD,1872,1925,184,3981,,,,,,
142,,STATE UOCAVA,2,13,3,18,,,,,,
,,TOTAL,1874,1938,187,3999,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Fredericks, Ann  Marie","Manende Hall, Kathryn Theresa",Blank,TBC,,,,,,
,,,Sanford,Sanford ,,,,,,,,
,,,Republican,Democratic,,,,,,,,
143,YOR,SANFORD,2590,1914,318,4822,,,,,,
143,,STATE UOCAVA,6,16,3,25,,,,,,
,,TOTAL,2596,1930,321,4847,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Adams, Jeffrey Sean","Cole, Corinna ",Blank,TBC,,,,,,
,,,Lebanon,Lebanon,,,,,,,,
,,,Republican,Democratic,,,,,,,,
144,YOR,ACTON,1031,613,119,1763,,,,,,
144,YOR,LEBANON,2280,1049,294,3623,,,,,,
144,,STATE UOCAVA,6,5,1,12,,,,,,
,,TOTAL,3317,1667,414,5398,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Foley, Robert Alan","Smith, James Nelson",Blank,TBC,,,,,,
,,,Wells,Wells,,,,,,,,
,,,Republican,Democratic,,,,,,,,
145,YOR,WELLS,3524,3228,259,7011,,,,,,
145,,STATE UOCAVA,10,37,3,50,,,,,,
,,TOTAL,3534,3265,262,7061,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Moulton, Bradley S.","Runte, Walter Gerard",Blank,TBC,,,,,,
,,,York,York,,,,,,,,
,,,Republican,Democratic,,,,,,,,
146,YOR,OGUNQUIT,401,665,49,1115,,,,,,
146,YOR,WELLS,651,775,94,1520,,,,,,
146,YOR,YORK,1591,1882,173,3646,,,,,,
146,,STATE UOCAVA,12,43,2,57,,,,,,
,,TOTAL,2655,3365,318,6338,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Sargent, Holly T.",Blank,TBC,,,,,,,
,,,York,,,,,,,,,
,,,Democratic,,,,,,,,,
147,YOR,YORK,4283,1751,6034,,,,,,,
147,,STATE UOCAVA,51,7,58,,,,,,,
,,TOTAL,4334,1758,6092,,,,,,,
DIST,CTY,MUNICIPALITY,"Lavigne, Thomas Arthur","Lozuaway-McComsey, Tristan  Earl",Blank,TBC,,,,,,
,,,Berwick,Berwick,,,,,,,,
,,,Republican,Democratic,,,,,,,,
148,YOR,BERWICK,2583,1811,319,4713,,,,,,
148,YOR,NORTH BERWICK,627,386,75,1088,,,,,,
148,,STATE UOCAVA,10,0,1,11,,,,,,
,,TOTAL,3220,2197,395,5812,,,,,,
DIST,CTY,MUNICIPALITY,"Davis-Rouillard, Kelly A.","Roberts, Tiffany Danielle",Blank,TBC,,,,,,
,,,North Berwick,South Berwick,,,,,,,,
,,,Republican,Democratic,,,,,,,,
149,YOR,NORTH BERWICK,1149,924,121,2194,,,,,,
149,YOR,SOUTH BERWICK,1329,2260,176,3765,,,,,,
149,,STATE UOCAVA,8,35,4,47,,,,,,
,,TOTAL,2486,3219,301,6006,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Meyer, Michele ","Zimmer, Mark Frederick",Blank,TBC,,,,,,
,,,Eliot,South Berwick,,,,,,,,
,,,Democratic,Republican,,,,,,,,
150,YOR,ELIOT,2922,1663,119,4704,,,,,,
150,YOR,KITTERY,332,176,32,540,,,,,,
150,YOR,SOUTH BERWICK,548,402,29,979,,,,,,
150,,STATE UOCAVA,39,5,1,45,,,,,,
,,TOTAL,3841,2246,181,6268,,,,,,
,,,,,,,,,,,,
DIST,CTY,MUNICIPALITY,"Johnson, Suzanne C.","Mathieson, Kristi Michele",Blank,TBC,,,,,,
,,,Kittery,Kittery,,,,,,,,
,,,Republican,Democratic,,,,,,,,
151,YOR,KITTERY,1667,3939,442,6048,,,,,,
151,,STATE UOCAVA,9,54,11,74,,,,,,
,,TOTAL,1676,3993,453,6122,,,,,,
